what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1354510946071
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1354510946071
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1354510946081
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1354510946096
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1354510946127
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1354510946136
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1354510946152
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1354510946164
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1354510946171
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1354510946189
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1354510946210
started,bundle,OperationRecorder,5.0.3,"OperationRecorder",1354510946211
started,bundle,OperationRecorderBase,5.0.2,"OperationRecorderBase",1354510946211
os,sysinfo,,,"win32",1354510946214
arch,sysinfo,,,"x86_64",1354510946214
ws,sysinfo,,,"win32",1354510946214
locale,sysinfo,,,"ja_JP",1354510946214
processors,sysinfo,,,"8",1354510946214
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354510946214
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1354510946214
java.specification.name,sysinfo,,,"Java Platform API Specification",1354510946214
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354510946214
java.specification.version,sysinfo,,,"1.6",1354510946214
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1354510946214
java.version,sysinfo,,,"1.6.0_25",1354510946214
java.vm.info,sysinfo,,,"mixed mode",1354510946214
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1354510946214
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354510946214
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1354510946214
java.vm.specification.version,sysinfo,,,"1.0",1354510946214
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1354510946214
java.vm.version,sysinfo,,,"20.0-b11",1354510946214
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1354510946486
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1354510946589
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1354510946800
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1354510947293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354510947846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354510952881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354510955374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354510956895
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354510956964
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1354510957286
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1354510957313
